,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
3683,10449374,20485973,Entire home/apt,,TS18,0,,5,0.0,2.0,182.0,3.0,1.31249,103.849607,2016-06-11 02:56:10.105261
3684,10449541,35691521,Entire home/apt,,TS29,0,,3,1.0,1.0,113.0,3.0,1.32276,103.852319,2016-06-11 04:14:13.986408
3685,10450113,20485973,Entire home/apt,,TS29,0,,3,1.0,1.0,114.0,3.0,1.324825,103.844768,2016-06-11 02:12:28.071845
3686,10450503,20485973,Entire home/apt,,MK17,0,,3,1.0,1.0,137.0,3.0,1.323619,103.852174,2016-06-11 05:24:23.895987
3687,10458699,29359955,Private room,,TS28,4,5.0,1,1.0,,49.0,1.0,1.319042,103.840233,2016-06-11 05:17:20.445141
3688,10458858,29359955,Private room,,TS28,0,,2,1.0,1.0,58.0,1.0,1.320122,103.840461,2016-06-11 05:41:29.430548
3689,10459862,47611818,Shared room,,TS12,0,,1,1.0,2.0,29.0,2.0,1.300111,103.853963,2016-06-11 04:15:39.620532
3690,10460455,4697433,Private room,,MK24,1,,2,1.0,1.0,58.0,1.0,1.332106,103.885584,2016-06-11 04:49:47.628133
3691,10460541,20715826,Entire home/apt,,MK23,11,5.0,2,1.0,1.0,96.0,2.0,1.320851,103.912151,2016-06-11 04:05:29.373126
3692,10460716,16120446,Entire home/apt,,TS23,2,,4,1.0,1.0,143.0,1.0,1.278378,103.841418,2016-06-11 03:45:35.774346
3693,10466406,21149720,Entire home/apt,,TS17,3,4.5,6,1.0,1.0,155.0,1.0,1.310573,103.860813,2016-06-11 05:15:16.981900
3694,10466787,4461879,Shared room,,TS20,0,,1,1.0,1.0,61.0,1.0,1.297618,103.841744,2016-06-11 05:06:30.487771
3695,10474800,9527221,Private room,,MK16,0,,2,1.0,1.0,75.0,1.0,1.365325,103.785579,2016-06-11 03:50:48.744794
3696,10474985,17534885,Private room,,MK34,0,,2,1.0,1.0,138.0,4.0,1.241641,103.838399,2016-06-11 02:48:25.078144
3697,10476248,14680346,Private room,,TS24,2,,2,1.0,1.0,69.0,1.0,1.292355,103.816076,2016-06-11 05:28:40.169718
3698,10476715,16857489,Private room,,MK17,2,,2,1.0,1.0,54.0,1.0,1.350973,103.820597,2016-06-11 04:36:16.609131
3699,10476814,50975018,Private room,,MK19,0,,2,1.0,1.0,72.0,1.0,1.438546,103.830614,2016-06-11 05:24:02.242249
3700,10477296,6495130,Private room,,TS19,0,,2,1.0,1.0,92.0,1.0,1.302207,103.846233,2016-06-11 03:39:15.777244
3701,10477428,49864163,Private room,,MK26,0,,2,1.0,1.0,91.0,2.0,1.315757,103.896904,2016-06-11 05:42:59.353541
3702,10478373,47611818,Shared room,,TS12,5,4.5,1,1.0,2.0,22.0,3.0,1.300437,103.851726,2016-06-11 04:41:44.180718
3703,10479544,47611818,Shared room,,TS11,2,,1,1.0,2.0,22.0,2.0,1.298204,103.852303,2016-06-11 04:29:22.216822
3704,10479556,54014611,Private room,,TS17,0,,2,1.0,1.0,76.0,2.0,1.30964,103.862252,2016-06-11 03:15:27.249322
3705,10480525,26653905,Private room,,MK31,0,,2,1.0,1.0,38.0,5.0,1.373154,103.959599,2016-06-11 05:29:15.527678
3706,10480544,9527221,Private room,,MK14,0,,2,1.0,1.0,75.0,1.0,1.373213,103.774075,2016-06-11 05:14:18.982899
3707,10483125,28428734,Private room,,MK19,0,,1,1.0,,45.0,1.0,1.414378,103.834705,2016-06-11 05:25:36.339950
3708,10483301,54036596,Entire home/apt,,TS30,6,4.5,6,3.0,2.0,457.0,3.0,1.281056,103.851242,2016-06-11 01:59:22.647894
3709,10484336,11114502,Entire home/apt,,MK25,1,,5,3.0,2.0,229.0,1.0,1.300803,103.900743,2016-06-11 05:17:57.935386
3710,10485668,46589954,Entire home/apt,,MK17,1,,2,1.0,1.0,61.0,5.0,1.343415,103.868105,2016-06-11 04:31:49.668239
3711,10498875,48640001,Private room,,MK18,1,,1,1.0,1.0,23.0,1.0,1.355293,103.866804,2016-06-11 05:01:26.287669
